Genotype,D,H,I,T4,T5,T6
BE4_23_C_YA,0.864864101977974,-1038.60561846477,-72.8523087068864,-3.10898109075671,-2.24779746018418,-1.82927563444515
BE4_27_D_YA,1.100389448551,-1.13924503994332,30.7545291180369,-2.22436468424678,-0.292303034854667,-0.616569030408854
BE4_6_D_GS,1.81591772536269,-0.434537625202095,80.8115627554163,-1.02159016582372,-1.49311285931322,1.62473533174346
BE5_1_A_YA,1.01736552328328,392.091892204315,42.227753008783,-2.2817555644515,-1.57156781606727,-0.819672681453801
BE5_19_C_YA,-2.19989409624147,486.612009957606,56.9612127726971,4.31547197605271,2.33117642166956,0.91413449319814
BE5_2_A_GS,1.35052597680795,534.184263644932,61.6436301588066,-0.559891130146307,0.746221646096145,2.01200557674806
BE5_27_B_YA,-2.28170865803907,448.433415219889,48.296512264433,5.26385506367961,3.35760675898633,1.84175917382934
BE5_5_B_GS,0.898346210548924,32.6377651764551,0.405620449114879,-2.62479472992078,-2.43685551426558,-0.432355919308824
BE5_9_C_GS,2.37109556241277,208.400259721649,11.0073836789365,-0.31619328040996,2.78911750826588,3.10529119323471
BE7_12_B_YA,0.685536188491262,228.576361231012,31.0429657861763,-1.49331183367369,-0.9570609884446,-0.429775250781323
BE7_20_D_YA,-1.41613746420309,332.193360902015,40.0234964321276,2.18157854506135,0.932214794693832,0.00990109106836618
BE7_26_D_GS,-0.276491381856118,297.015865424359,29.7724570119155,-2.05908949050863,-0.514528918517926,-2.49159157461091
BE7_29_A_GS,1.98290814530818,-34.6276682359538,24.5635995402901,-1.78361671068044,-0.345503450413639,1.66709546647749
BE7_5_C_GS,-2.9163243229254,296.438349830253,40.0561154656832,4.13140296536745,2.44140966754999,-0.311233276342836
BE7_6_C_YA,-0.559649734717104,464.4460991548,67.0690377451352,-0.527119977393362,-1.36387886305496,-1.41754235493724
BE8_15_C_GS,1.48827163349124,-219.451448449721,-21.1376478709442,0.520009816713221,1.57229748520035,2.69055516725358
BE8_19_C_YA,0.538946771821088,335.295929402231,48.1553925953843,-0.0646232315212116,0.811689091239786,0.755689802383642
BE8_22_D_GS,-0.881440822737551,444.084160627131,68.2135137166273,-1.96649584625962,-2.30817521652289,-3.24441427198588
BE8_4_B_YA,0.532207071732862,196.482882482678,20.2529070804377,-1.0427409962102,-0.23438369625628,-0.140339598448652
BE8_5_B_GS,-0.421085693795633,-125.52807202753,-20.0030781432939,-0.644866349354986,-0.259915095629625,-1.34390340352725
BE9_12_D_YA,-0.472227471669291,162.735430528183,2.76306791614615,2.59300125801597,1.64103244027378,1.88422965567683
BE9_15_C_GS,0.569300344650628,-381.164678397577,-51.0483532643158,-0.287376192523799,-0.0769837550866576,0.504512743583385
BE9_21_C_YA,1.81298990062719,-558.797153945621,-73.6403963843929,-2.97543613908307,-1.82424607151017,-0.265668380389654
BE9_29_D_GS,1.0337444420824,42.811377309921,-2.22246205312581,-0.944403232942302,2.23382135265686,0.584836482235567
BE9_30_A_YA,-1.02437610596555,-465.144557035936,-51.019033560298,2.03936125593918,1.70023836519163,0.458396784498234
GA1_12_D_YA,-2.1568115740442,756.729127851555,91.6602173095448,4.70487585994704,2.9194420119011,1.12493224128936
GA1_23_A_YA,-1.31227127514262,348.782661086569,62.9655581941672,1.41308138763252,-0.0400002748248052,-0.303036161508903
GA1_26_D_GS,0.0392610667937216,-93.8949329476951,11.0676860771108,1.99046040250314,1.05935094670901,2.10569415802462
GA1_3_C_GS,0.0794576139588096,-98.574298234177,4.09372420729904,2.58094914577149,1.18929342245188,2.71321931979113
GA1_6_A_GS,-0.195981857697741,249.672672128524,43.897894568407,1.05067901483723,-2.07976698458825,0.46938110192831
GA10_1_D_YA,-0.942909568311563,-162.262432985298,-27.7654620559949,-0.17037267453999,-2.3237926920198,-2.1822100016041
GA10_15_A_GS,0.416699591163947,-948.070074905076,-86.3188530586206,0.454433935897717,0.60326844494519,0.485256342093728
GA10_20_B_YA,0.934543151364512,-104.571788349325,-33.8292558948482,-3.177463630899,-2.43926844311783,-1.49159693808634
GA10_22_D_GS,1.97966573938509,271.47898840949,42.982303500506,-0.277520776051047,2.13472797042077,3.23554412424903
GA10_27_C_YA,2.26662275268375,236.653047410029,34.4115384790183,-5.58936157608119,-3.0370737951641,-2.54878171151831
GA3_15_A_YA,0.125203948954117,-166.942232607639,-30.735447523602,0.0333272664771081,-0.304831951632594,0.728127563021957
GA3_18_B_YA,-0.37931883762732,416.639219710657,38.8741934625092,0.920482694199476,1.25769934212589,0.822878423511607
GA3_22_B_GS,0.919787572225111,150.770780551907,21.0200208467761,1.90565255819353,2.09989945047072,3.00829515593024
GA3_27_C_YA,-0.230836539894319,232.668533511935,18.5062664963464,1.06084845677958,0.34129521459769,0.469312447175813
GA3_29_D_GS,-1.79336266078894,-120.129685126185,-20.7712350531893,2.51580688867262,2.64424672162361,-0.00774073310715722
GA5_19_A_YA,2.805630230659,168.681478818338,52.3870506516379,-4.91734260757968,-1.06586389568025,-0.707606809367128
GA5_2_C_GS,-2.43928129176931,518.136493134824,41.1264230905183,-0.0727886319491259,-1.25414447972505,-4.00673970794631
GA5_23_C_YA,1.30523381624133,501.462535829296,79.1066999973078,1.1933612408081,0.621564575999536,2.46487058238746
GA5_30_B_YA,1.98442239834871,-703.386643151199,-86.785920538844,-0.734902485829608,0.731010426529707,1.8421484336277
GA5_6_D_GS,-1.12310243902575,-568.454158352172,-59.5050220160488,-0.502393453041977,-2.35145447795169,-2.83871458393778
GA5_9_B_GS,0.424559230025314,483.240709676126,45.9756214253803,3.51105346752518,4.64451978061145,3.38595582651852
GA6_15_A_GS,-0.444774322959411,92.3328933213284,13.1702530527389,2.27561663067761,1.2405476035375,1.44684892941414
GA6_25_B_YA,-1.74993732606248,717.242672526113,105.34088096874,1.98839298981598,-0.401304194662424,-0.190698344160414
GA6_27_C_YA,-2.23638384252245,-3.07555464620437,-28.7064051527507,6.7563341722864,4.00267797365918,2.97649860450782
GA6_3_B_GS,-0.129722863145846,-329.489575985663,-38.1793699579382,0.00514934259669847,-0.694574372922217,-0.461478113867791
GA6_5_D_GS,-1.18834169583994,-264.378976167247,-25.3165054147025,-1.85472883164589,-1.24001336642032,-3.43209218568351
GA7_10_B_YA,-1.75215314133492,733.563712477563,79.4533221818341,2.1184467447599,1.1228712697177,0.00837073831991821
GA7_15_B_GS,1.99783860081367,449.276283659347,64.3938530906895,-4.02629656474541,-3.99665325038823,-1.4039724877517
GA7_2_C_GS,1.51936364967492,365.669690060525,25.1827420794686,1.42860051963507,2.03679145777225,4.05395429817273
GA7_20_A_YA,-0.0593240395175747,476.829890770128,10.575171657564,0.129732807730783,1.77491798889189,0.597825517562994
GA7_23_C_YA,0.376437354338414,-167.522075899682,-48.8553744459662,-1.85887044034975,-0.170878345338914,-1.41088774128386
GA7_26_D_GS,1.72828880893721,881.958944667874,82.2958995201275,-0.64269385757279,-1.43263254512863,2.17732598890686
GA8_15_C_GS,0.818606754793221,868.954098035167,94.2453789643128,1.23219857470681,-0.269914699110088,2.38662615084129
GA8_20_A_YA,1.22917303946347,-249.800020557996,-35.5260758296697,-2.70096439526034,-1.21947179297917,-0.803150944696659
GA8_23_D_YA,0.119725059948109,132.902287471436,10.8548673906622,2.71659818381213,2.44657635790127,2.22572346713141
GA8_29_D_GS,0.00541329046473671,265.186177946831,34.6539349754205,0.660579789339022,-0.14967259331102,0.776399408434694
GA9_1_D_YA,1.79168634380504,-185.820270168177,-1.20248944354712,-3.17158366685236,-0.19800720602563,-0.788450786532568
GA9_11_A_YA,-0.746896578447485,429.976744815188,88.1332867000775,-0.270096819578709,0.258335579392842,-0.952553927212866
GA9_12_C_YA,-0.308814617106363,-258.128048106587,1.09888494160296,-1.79344714687218,-1.36795287432887,-2.33665006600574
GA9_15_C_GS,-1.02157435488861,-647.944718965236,-41.9398710020901,-1.13986702260896,2.40087199912527,-2.35173187790822
GA9_29_B_GS,-1.72118474090005,-223.137621105046,5.18268882801732,-0.542701592673585,-1.08562017710972,-3.48791309579619
GA9_6_A_GS,0.0814168287558198,148.469046349398,39.7420130840069,-2.70314447237549,1.44540157982839,-2.5913819425335
GL1_11_A_YA,0.101292980472789,-398.985985850723,-28.1465727425392,-0.15775243792457,-0.128581528456868,-0.21179957692371
GL1_20_D_YA,0.848239541228841,575.246145726415,88.3787749885329,-3.44286243620077,-3.32897345728128,-1.92850653477933
GL1_22_B_GS,0.31223417004244,-158.324506648446,-11.5162915942358,-0.686881263453865,0.700961286002644,-0.0804906408913907
GL1_26_A_GS,-0.336981990003449,106.22309973809,30.6222918389652,-2.10641857459988,-2.21689769074401,-2.52843472856439
GL1_29_C_GS,-1.01708077692826,228.096265525584,24.1925069301152,-0.205686399856199,-1.59885874351764,-1.82823955908398
GL2_1_C_YA,-0.0400948635616472,932.830561637689,107.870468627606,-0.704993800058088,-0.320120343110701,-0.527074239224518
GL2_12_A_YA,-0.673349780090705,-281.459749143237,-45.2138359746152,2.44186224726182,0.46684402302703,1.26503604288056
GL2_15_B_GS,-0.569337508566054,68.381969672905,22.9544299354652,1.77109244249652,2.43604684793854,1.17852271169672
GL2_2_A_GS,1.94973029923729,295.838846112423,42.2640982536709,-0.903767186315019,-1.45239388574727,2.13464782720271
GL2_27_D_YA,-2.92809983180888,-211.628753340423,-40.8561780622494,5.4390563964115,3.13117627704789,1.28816170254687
GL2_3_C_GS,3.07290388213896,369.606272717645,47.6025128891099,-1.23786109559163,1.59013901755642,3.29395311361946
GL3_1_B_YA,1.55724419885362,108.424181116249,32.4303847537931,-1.35536010581426,-0.0975425409884891,1.48487775516884
GL3_10_B_GS,-0.179854956171419,47.9039137349523,2.25417283559074,-0.894647770658373,-1.52575996341858,-0.339408773896735
GL3_12_C_YA,0.789726785933327,-220.956113182722,-14.5352380896056,4.39527819466065,5.93496712207704,6.80967496932594
GL3_18_A_YA,0.393260789199076,743.080500691495,82.180662487229,-0.380987353192268,0.940092745476994,0.591481357564502
GL3_22_C_GS,-2.0448107055549,-976.720974997949,-70.9751041159161,-4.01970716622866,-4.36612845509277,-6.00797563802369
GL3_26_D_GS,-1.14641379437676,446.566878318067,39.7343638201116,-3.53904916069328,-3.78084508053046,-4.81584273766347
GL4_10_A_GS,-1.63741478197969,502.000819782124,36.4637444501087,0.310684173166485,-1.11375602413478,-1.95321852412243
GL4_27_B_YA,-0.328562642138923,-379.784871932283,-63.3417561953535,0.570863058995614,-1.00029742780598,-0.205059699223493
GL4_3_D_GS,0.851700816121204,156.592083267217,-23.7800748331222,-0.912908830897403,0.0927693015113697,0.208419733946885
GL4_30_A_YA,0.280191366751115,-166.145331786902,-6.10467930954477,0.277130352817402,-0.183400996444272,0.562351900208127
GL4_5_C_YA,-1.86658733134111,-431.517316016906,-49.8027384785787,1.3889009262066,-0.402081516000431,-1.31566002886276
GL4_6_C_GS,-2.40601932396742,135.150519574693,0.629530382456446,3.03796389941307,0.264609635143405,-0.629649521229433
GL5_5_C_GS,-0.323980336391976,301.095132189568,34.8668211974954,2.02497104914174,3.56133408538384,1.43699134132275
GL5_6_A_GS,-0.767114932529332,148.260822695785,15.0489315090847,0.99335189085717,0.983246696237792,-0.0369203721109276
GL6_10_C_GS,1.73172554998936,-543.47894821218,-68.6425084530621,1.16054317964926,-0.320318320098612,3.78879816994314
GL6_15_D_GS,0.876519742773354,321.10413382757,-3.53736456414941,0.333140611097653,0.542618203679447,1.56619281136205
GL6_18_D_YA,0.299114761362112,-489.010948892091,-65.1042545393451,-1.63363673247647,-0.638200591676399,-0.903524919115664
GL6_2_A_GS,-0.343606398072398,445.125445136021,25.1875539856368,-3.12446090762802,-2.14994499428541,-3.50293507881722
GL6_23_B_YA,-2.08335046551255,-4.61236385179281,-22.2921342134298,3.75365164787239,2.00506673838241,0.360886056082943
GL6_27_A_YA,0.356675538969238,-166.380098881554,-36.1519738257599,-0.992931405792014,-0.550478371747055,-0.669583314029119
GL7_10_C_YA,-1.91132954667972,-242.000916735672,-8.21357988750069,1.46338201750633,-0.86304581939314,-1.18914730481409
GL7_12_A_YA,-1.35790907876203,-77.7087868968427,-4.98998989642098,3.17825452434555,1.72363161531147,0.858840886967748
GL7_14_B_YA,0.319781282175092,74.430615265897,45.913577485571,-0.605047796137918,0.23947231043918,-0.370759787583451
GL7_15_D_GS,-0.362562875581745,-266.129006911737,-35.1984007328168,2.08956023905792,2.36554808881897,1.38529910911685
GL7_2_A_GS,-0.320898521229419,-692.161133798667,-68.4020305303594,5.34045011141102,5.53530944099308,4.82794452697203
GL8_15_D_GS,0.673150808173243,-529.408975299187,8.62431338367113,1.37069246738781,1.29708237710522,2.25712332244581
GL8_19_C_YA,2.90628809953821,-13.4619063360907,-17.3467984365665,-4.83368775692961,-2.00390722461783,-0.24405961162098
GL8_22_C_GS,1.86899447684735,326.550754997275,19.0287201231841,-1.13986009312461,2.2890315065807,1.64985884705103
GL8_29_A_GS,1.27986457421413,-180.960903252426,-42.3755172211423,-0.854027200270033,-0.768775066489816,1.21433933852155
GL8_30_D_YA,2.47263340992689,133.100829021312,18.6590441370857,-2.33210441570262,-0.14268469672662,1.69415535121215
GL8_4_B_YA,1.74249746419345,-96.5926791096662,-22.1593291084623,-2.66287807646648,-0.340481627171432,-0.208736416659299
GT1_11_A_YA,-0.0767823424663384,-483.432286190561,-86.5841197130012,2.08386559045799,0.756684859155782,1.81981756567403
GT1_22_A_GS,1.62584439997519,-135.335886517018,-25.2620481850345,2.38453949050599,3.40221129021047,4.78360648483989
GT1_23_D_YA,-0.981724162473812,-179.324776701749,-28.8413648343498,1.96764819514202,0.897386504891683,0.297201746265921
GT1_6_B_GS,0.0682943672965286,84.6275890810608,7.68308561521123,0.41611263283963,0.324214837326931,0.400188122663582
GT2_18_C_YA,0.733550476179241,183.38064530857,11.2623820340412,-2.2199593901627,-1.71667645942337,-1.08890032669131
GT2_2_B_GS,2.77058128805964,-547.667159732579,-58.3011079231385,-0.353055464468967,-1.21055088883487,3.68451865761877
GT2_23_D_YA,-0.934988594933328,-436.116280627383,-73.4396508890077,2.07335110750161,1.41618181726983,0.454349659476926
GT2_26_D_GS,-2.35747064615137,87.891873524045,27.374669886338,0.779803918643235,-0.923695155892936,-2.93027845850919
GT2_27_B_YA,-1.22579499153797,26.947247405047,-6.75574984911189,2.18360736164294,2.20473143396387,0.246403959237421
GT2_9_C_GS,1.41774591462847,-372.225713736971,-31.4124970387257,1.00409888671328,0.194669749782509,3.0504646019718
GT3_10_C_GS,0.244747323559819,-678.826917919974,-92.1769965831301,2.85082860338651,3.78768635337926,2.95279900792325
GT3_2_B_GS,-0.0184229080944725,-267.946121493404,-43.4294589321712,0.372464974887951,-0.469814199883527,0.197628239183808
GT5_1_D_YA,2.20470045871311,64.2351805116834,31.8087950522285,-4.60425949032681,-2.85221695217993,-1.21345619097307
GT5_18_B_YA,1.35674692541894,-492.220128668237,-24.5292830382725,-4.00136839585202,-2.39022861274048,-2.06318853618714
GT5_2_B_GS,0.337667282646445,199.016546466763,27.1360926174406,-3.54331523356165,-2.17015826848099,-3.0584403816898
GT5_20_A_YA,2.40327180180332,-126.011010745271,4.87669347422489,-4.71893404427939,-1.56030828238466,-1.17877338274612
GT5_26_C_GS,1.54832325008409,-429.067130450347,-46.8860509229797,-7.02120718743284,-5.35274042164694,-4.79607294122634
GT5_6_A_GS,-3.87901690986815,98.1643395380988,1.4409672143907,-1.54325430065505,-2.92061449619537,-7.2584396003898
GT6_10_B_GS,-0.865672923726822,374.280174328402,38.3043583181829,2.91724266951425,2.08163630405378,2.16504769992409
GT6_27_A_YA,-1.72068794117807,153.753360095646,-7.19378513492763,2.81109085055853,0.79363272295786,0.112245785176798
GT6_29_D_GS,0.641775523295389,-515.565616426967,-74.5053388222942,0.870217978932027,1.48549694342742,1.68589875021345
GT6_30_C_YA,-1.48113147824277,144.795246705911,-0.250771934413771,3.43468879929969,1.83500885373535,1.1307941813586
GT6_4_D_YA,-0.993404656362529,-18.7032147525195,-9.81715289553225,2.55503696802728,1.57206600650481,1.14953297205865
GT6_5_C_GS,-0.153100386367331,644.658090595592,59.9166839943003,1.07724258479809,1.12772066691252,0.810121204034208
GT7_11_A_YA,-1.01868542483345,454.518971571767,87.0445681844085,1.22121793355359,0.15258453685329,-0.333894394325864
GT7_12_C_YA,-1.34007303845726,-402.158444805706,-52.1497030240928,1.85958659778014,-0.389477943039869,-0.14176251854888
GT7_2_C_GS,-0.0383876236225166,-108.692448818145,-17.6650587305076,1.10259320665068,-0.364750142403036,1.02764289294451
GT7_22_B_GS,-1.60705897094669,-862.805709660909,-90.8666741647881,-0.208186752999922,-1.53547333402303,-2.63281079079573
GT7_5_A_GS,-1.54088618315698,-384.64523800959,-21.9441830374076,1.81330778157465,-0.222370680791206,-0.397650966468299
GT8_1_A_YA,-0.374007790986257,-612.967886492573,-104.510662949823,1.71991941966484,1.27410673926018,1.13242976527209
GT8_11_D_YA,0.633178221479299,-32.4782862476193,-6.98735155375085,-1.93061479689696,-1.05553249798163,-0.990415886085626
