Genotype,Envir,Latitude,Longitude,D,Lat,Lon,D_spats_residuals,D_spats_geno_pred_values,D_spats_adj_pheno
GL3_10_B_GS,GS_2016_B,56.91,-5.13,30,56.91,-5.13,2.21633930440073,35.6211497203049,37.8374890247057
GT1_6_B_GS,GS_2016_B,57.05,-2.86,28,57.05,-2.86,2.88882283879682,36.2936332547011,39.1824560934979
GT2_2_B_GS,GS_2016_B,57.05,-2.86,28,57.05,-2.86,2.88882283879682,36.2936332547011,39.1824560934979
GT3_2_B_GS,GS_2016_B,57.05,-2.86,28,57.05,-2.86,2.88882283879682,36.2936332547011,39.1824560934979
GT5_2_B_GS,GS_2016_B,57.05,-2.86,12,57.05,-2.86,-5.11117716120291,28.2936332547008,23.1824560934979
GT7_22_B_GS,GS_2016_B,57.05,-2.86,21,57.05,-2.86,-0.611177161203063,32.7936332547009,32.1824560934979
GT8_5_B_GS,GS_2016_B,57.05,-2.86,26,57.05,-2.86,1.88882283879685,35.293633254701,37.1824560934979
GT9_15_B_GS,GS_2016_B,57.05,-2.86,12,57.05,-2.86,-5.11117716120291,28.2936332547008,23.1824560934979
RD3_26_B_GS,GS_2016_B,57.89,-4.98,28,57.89,-4.98,-1.61902541807427,31.7857849978297,30.1667595797554
RD7_15_B_GS,GS_2016_B,57.89,-4.98,33,57.89,-4.98,0.880974581925663,34.2857849978297,35.1667595797554
RD8_29_B_GS,GS_2016_B,57.89,-4.98,28,57.89,-4.98,-1.61902541807427,31.7857849978297,30.1667595797554
RD9_5_B_GS,GS_2016_B,57.89,-4.98,33,57.89,-4.98,0.880974581925663,34.2857849978297,35.1667595797554
BE10_22_B_GS,GS_2017_B,57.63,-5.35,30,57.63,-5.35,-1.49766336229109,22.1971316925337,20.6994683302426
BE3_22_B_GS,GS_2017_B,57.63,-5.35,37,57.63,-5.35,2.00233663770885,25.6971316925338,27.6994683302426
BE5_5_B_GS,GS_2017_B,57.63,-5.35,35,57.63,-5.35,1.00233663770887,24.6971316925337,25.6994683302426
BE8_5_B_GS,GS_2017_B,57.63,-5.35,30,57.63,-5.35,-1.49766336229109,22.1971316925337,20.6994683302426
GA3_22_B_GS,GS_2017_B,57.27,-4.92,30,57.27,-4.92,1.06084682757239,24.7556418823973,25.8164887099697
GA5_9_B_GS,GS_2017_B,57.27,-4.92,21,57.27,-4.92,-3.43915317242754,20.2556418823972,16.8164887099697
