Genotype,Envir,Latitude,Longitude,H,Lat,Lon,H_spats_residuals,H_spats_geno_pred_values,H_spats_adj_pheno
GT8_29_A_GS,GS_2020_A,57.05,-2.86,2970,57.05,-2.86,565.759542065712,1850.57109134479,2416.3306334105
GT9_9_A_GS,GS_2020_A,57.05,-2.86,910,57.05,-2.86,-464.240457934292,820.571091344794,356.330633410502
RD1_6_A_GS,GS_2020_A,57.89,-4.98,3060,57.89,-4.98,365.925254881515,1650.73680416059,2016.66205904211
RD5_5_A_GS,GS_2020_A,57.89,-4.98,2060,57.89,-4.98,-134.074745118487,1150.73680416059,1016.66205904211
RD7_29_A_GS,GS_2020_A,57.89,-4.98,2170,57.89,-4.98,-79.074745118487,1205.73680416059,1126.66205904211
BE2_3_C_GS,GS_2020_C,57.63,-5.35,2790,57.63,-5.35,72.8051700571614,1785.52110699748,1858.32627705464
BE3_10_C_GS,GS_2020_C,57.63,-5.35,2470,57.63,-5.35,-87.1948299428373,1625.52110699748,1538.32627705464
BE5_9_C_GS,GS_2020_C,57.63,-5.35,2880,57.63,-5.35,117.805170057161,1830.52110699748,1948.32627705464
BE7_5_C_GS,GS_2020_C,57.63,-5.35,2960,57.63,-5.35,157.80517005716,1870.52110699748,2028.32627705464
BE8_15_C_GS,GS_2020_C,57.63,-5.35,2450,57.63,-5.35,-97.1948299428373,1615.52110699748,1518.32627705464
BE9_15_C_GS,GS_2020_C,57.63,-5.35,2320,57.63,-5.35,-162.194829942837,1550.52110699748,1388.32627705464
GA1_3_C_GS,GS_2020_C,57.27,-4.92,2100,57.27,-4.92,-54.3089083335144,1658.40702860681,1604.09812027329
GA5_2_C_GS,GS_2020_C,57.27,-4.92,2580,57.27,-4.92,185.691091666484,1898.40702860681,2084.09812027329
GA7_2_C_GS,GS_2020_C,57.27,-4.92,2600,57.27,-4.92,195.691091666484,1908.40702860681,2104.09812027329
GA8_15_C_GS,GS_2020_C,57.27,-4.92,2830,57.27,-4.92,310.691091666483,2023.40702860681,2334.09812027329
GA9_15_C_GS,GS_2020_C,57.27,-4.92,1640,57.27,-4.92,-284.308908333507,1428.40702860681,1144.0981202733
GL1_29_C_GS,GS_2020_C,56.91,-5.13,2360,56.91,-5.13,100.934183098634,1813.65012003896,1914.58430313759
GL2_3_C_GS,GS_2020_C,56.91,-5.13,2530,56.91,-5.13,185.934183098634,1898.65012003896,2084.58430313759
GL3_22_C_GS,GS_2020_C,56.91,-5.13,1030,56.91,-5.13,-564.065816901357,1148.65012003895,584.584303137594
GL4_6_C_GS,GS_2020_C,56.91,-5.13,2260,56.91,-5.13,50.934183098635,1763.65012003896,1814.58430313759
GL5_5_C_GS,GS_2020_C,56.91,-5.13,2460,56.91,-5.13,150.934183098634,1863.65012003896,2014.58430313759
GL6_10_C_GS,GS_2020_C,56.91,-5.13,1580,56.91,-5.13,-289.06581690136,1423.65012003895,1134.58430313759
GL8_22_C_GS,GS_2020_C,56.91,-5.13,2480,56.91,-5.13,160.934183098634,1873.65012003896,2034.58430313759
GT2_9_C_GS,GS_2020_C,57.05,-2.86,1800,57.05,-2.86,-139.84661617298,1572.86932076733,1433.02270459436
GT3_10_C_GS,GS_2020_C,57.05,-2.86,1490,57.05,-2.86,-294.846616172978,1417.86932076733,1123.02270459436
