Genotype,Envir,Latitude,Longitude,T6,Lat,Lon,T6_spats_residuals,T6_spats_geno_pred_values,T6_spats_adj_pheno
BE4_6_D_GS,GS_2016_D,57.63,-5.35,28,57.63,-5.35,0.285063602821342,23.5034105913445,23.7884741941659
BE7_26_D_GS,GS_2016_D,57.63,-5.35,28,57.63,-5.35,0.285063602821342,23.5034105913445,23.7884741941659
BE8_22_D_GS,GS_2016_D,57.63,-5.35,21,57.63,-5.35,-3.21493639717866,20.0034105913445,16.7884741941659
BE9_29_D_GS,GS_2016_D,57.63,-5.35,33,57.63,-5.35,2.78506360282134,26.0034105913445,28.7884741941659
GA1_26_D_GS,GS_2016_D,57.27,-4.92,28,57.27,-4.92,1.53018923350794,24.7485362220311,26.2787254555391
GA3_29_D_GS,GS_2016_D,57.27,-4.92,28,57.27,-4.92,1.53018923350794,24.7485362220311,26.2787254555391
GA5_6_D_GS,GS_2016_D,57.27,-4.92,21,57.27,-4.92,-1.96981076649206,21.2485362220311,19.2787254555391
GA6_5_D_GS,GS_2016_D,57.27,-4.92,21,57.27,-4.92,-1.96981076649206,21.2485362220311,19.2787254555391
GL3_26_D_GS,GS_2016_D,56.91,-5.13,12,56.91,-5.13,-6.09877568924042,17.1195712992828,11.0207956100423
GL4_3_D_GS,GS_2016_D,56.91,-5.13,21,56.91,-5.13,-1.59877568924043,21.6195712992828,20.0207956100423
GL6_15_D_GS,GS_2016_D,56.91,-5.13,28,56.91,-5.13,1.90122431075957,25.1195712992828,27.0207956100423
GL7_15_D_GS,GS_2016_D,56.91,-5.13,28,56.91,-5.13,1.90122431075957,25.1195712992828,27.0207956100423
GL8_15_D_GS,GS_2016_D,56.91,-5.13,33,56.91,-5.13,4.40122431075957,27.6195712992828,32.0207956100423
GT2_26_D_GS,GS_2016_D,57.05,-2.86,12,57.05,-2.86,-2.98003340435018,20.238313584173,17.2582801798228
GT6_29_D_GS,GS_2016_D,57.05,-2.86,21,57.05,-2.86,1.51996659564983,24.738313584173,26.2582801798228
GT8_22_D_GS,GS_2016_D,57.05,-2.86,21,57.05,-2.86,1.51996659564983,24.738313584173,26.2582801798228
RD10_10_D_GS,GS_2016_D,57.89,-4.98,33,57.89,-4.98,2.76355530109212,25.9819022896153,28.7454575907074
RD2_9_D_GS,GS_2016_D,57.89,-4.98,21,57.89,-4.98,-3.23644469890788,19.9819022896153,16.7454575907074
RD3_2_D_GS,GS_2016_D,57.89,-4.98,28,57.89,-4.98,0.263555301092119,23.4819022896153,23.7454575907074
RD5_6_D_GS,GS_2016_D,57.89,-4.98,28,57.89,-4.98,0.263555301092119,23.4819022896153,23.7454575907074
RD8_22_D_GS,GS_2016_D,57.89,-4.98,28,57.89,-4.98,0.263555301092119,23.4819022896153,23.7454575907074
BE10_19_D_GS,GS_2017_D,57.63,-5.35,21,57.63,-5.35,2.50394465026473,21.9513219428691,24.4552665931338
BE2_15_D_GS,GS_2017_D,57.63,-5.35,14,57.63,-5.35,-0.99605534973526,18.451321942869,17.4552665931338
BE3_29_D_GS,GS_2017_D,57.63,-5.35,21,57.63,-5.35,2.50394465026473,21.9513219428691,24.4552665931338
BE4_6_D_GS,GS_2017_D,57.63,-5.35,28,57.63,-5.35,6.0039446502647,25.4513219428691,31.4552665931338
BE7_26_D_GS,GS_2017_D,57.63,-5.35,7,57.63,-5.35,-4.49605534973523,14.951321942869,10.4552665931338
BE8_22_D_GS,GS_2017_D,57.63,-5.35,7,57.63,-5.35,-4.49605534973523,14.951321942869,10.4552665931338
BE9_29_D_GS,GS_2017_D,57.63,-5.35,14,57.63,-5.35,-0.99605534973526,18.451321942869,17.4552665931338
GA1_26_D_GS,GS_2017_D,57.27,-4.92,21,57.27,-4.92,2.26146514304085,21.7088424356452,23.9703075786861
GA10_22_D_GS,GS_2017_D,57.27,-4.92,28,57.27,-4.92,5.76146514304082,25.2088424356452,30.9703075786861
GA3_29_D_GS,GS_2017_D,57.27,-4.92,14,57.27,-4.92,-1.23853485695912,18.2088424356452,16.970307578686
GA5_6_D_GS,GS_2017_D,57.27,-4.92,7,57.27,-4.92,-4.7385348569591,14.7088424356451,9.97030757868604
GA6_5_D_GS,GS_2017_D,57.27,-4.92,14,57.27,-4.92,-1.23853485695912,18.2088424356452,16.970307578686
GA7_26_D_GS,GS_2017_D,57.27,-4.92,21,57.27,-4.92,2.26146514304085,21.7088424356452,23.9703075786861
GA8_29_D_GS,GS_2017_D,57.27,-4.92,21,57.27,-4.92,2.26146514304085,21.7088424356452,23.9703075786861
GL3_26_D_GS,GS_2017_D,56.91,-5.13,7,56.91,-5.13,-4.11365452943419,15.3337227631701,11.2200682337359
GL4_3_D_GS,GS_2017_D,56.91,-5.13,14,56.91,-5.13,-0.613654529434218,18.8337227631701,18.2200682337359
GL6_15_D_GS,GS_2017_D,56.91,-5.13,21,56.91,-5.13,2.88634547056578,22.3337227631701,25.2200682337359
GL7_15_D_GS,GS_2017_D,56.91,-5.13,21,56.91,-5.13,2.88634547056578,22.3337227631701,25.2200682337359
GL8_15_D_GS,GS_2017_D,56.91,-5.13,7,56.91,-5.13,-4.11365452943419,15.3337227631701,11.2200682337359
GT2_26_D_GS,GS_2017_D,57.05,-2.86,7,57.05,-2.86,-2.45437729763726,16.992999994967,14.5386226973298
GT6_29_D_GS,GS_2017_D,57.05,-2.86,14,57.05,-2.86,1.04562270236271,20.492999994967,21.5386226973298
GT8_22_D_GS,GS_2017_D,57.05,-2.86,14,57.05,-2.86,1.04562270236271,20.492999994967,21.5386226973298
RD10_10_D_GS,GS_2017_D,57.89,-4.98,21,57.89,-4.98,0.845589331157822,20.2929666237622,21.13855595492
RD2_9_D_GS,GS_2017_D,57.89,-4.98,7,57.89,-4.98,-6.15441066884212,13.2929666237621,7.13855595491999
RD3_2_D_GS,GS_2017_D,57.89,-4.98,21,57.89,-4.98,0.845589331157822,20.2929666237622,21.13855595492
RD5_6_D_GS,GS_2017_D,57.89,-4.98,14,57.89,-4.98,-2.65441066884215,16.7929666237621,14.13855595492
RD8_22_D_GS,GS_2017_D,57.89,-4.98,21,57.89,-4.98,0.845589331157822,20.2929666237622,21.13855595492
RD9_6_D_GS,GS_2017_D,57.89,-4.98,28,57.89,-4.98,4.3455893311578,23.7929666237622,28.13855595492
BE10_19_D_GS,GS_2018_D,57.63,-5.35,7,57.63,-5.35,-0.99829770953959,14.0411224824484,13.0428247729088
BE2_15_D_GS,GS_2018_D,57.63,-5.35,7,57.63,-5.35,-0.99829770953959,14.0411224824484,13.0428247729088
BE3_29_D_GS,GS_2018_D,57.63,-5.35,14,57.63,-5.35,2.5017022904604,17.5411224824484,20.0428247729088
BE4_6_D_GS,GS_2018_D,57.63,-5.35,14,57.63,-5.35,2.5017022904604,17.5411224824484,20.0428247729088
BE7_26_D_GS,GS_2018_D,57.63,-5.35,7,57.63,-5.35,-0.99829770953959,14.0411224824484,13.0428247729088
BE8_22_D_GS,GS_2018_D,57.63,-5.35,7,57.63,-5.35,-0.99829770953959,14.0411224824484,13.0428247729088
BE9_29_D_GS,GS_2018_D,57.63,-5.35,7,57.63,-5.35,-0.99829770953959,14.0411224824484,13.0428247729088
GA1_26_D_GS,GS_2018_D,57.27,-4.92,14,57.27,-4.92,0.828605772914733,15.8680259649028,16.6966317378175
GA10_22_D_GS,GS_2018_D,57.27,-4.92,21,57.27,-4.92,4.3286057729147,19.3680259649028,23.6966317378175
GA3_29_D_GS,GS_2018_D,57.27,-4.92,14,57.27,-4.92,0.828605772914733,15.8680259649028,16.6966317378175
GA5_6_D_GS,GS_2018_D,57.27,-4.92,7,57.27,-4.92,-2.67139422708524,12.3680259649027,9.6966317378175
GA6_5_D_GS,GS_2018_D,57.27,-4.92,7,57.27,-4.92,-2.67139422708524,12.3680259649027,9.6966317378175
GA7_26_D_GS,GS_2018_D,57.27,-4.92,14,57.27,-4.92,0.828605772914733,15.8680259649028,16.6966317378175
GA8_29_D_GS,GS_2018_D,57.27,-4.92,14,57.27,-4.92,0.828605772914733,15.8680259649028,16.6966317378175
GL3_26_D_GS,GS_2018_D,56.91,-5.13,7,56.91,-5.13,-0.964818977979904,14.0746012140081,13.1097822360282
GL4_3_D_GS,GS_2018_D,56.91,-5.13,7,56.91,-5.13,-0.964818977979904,14.0746012140081,13.1097822360282
GL6_15_D_GS,GS_2018_D,56.91,-5.13,7,56.91,-5.13,-0.964818977979904,14.0746012140081,13.1097822360282
GL7_15_D_GS,GS_2018_D,56.91,-5.13,7,56.91,-5.13,-0.964818977979904,14.0746012140081,13.1097822360282
GL8_15_D_GS,GS_2018_D,56.91,-5.13,14,56.91,-5.13,2.53518102202007,17.5746012140081,20.1097822360282
GT2_26_D_GS,GS_2018_D,57.05,-2.86,7,57.05,-2.86,-0.0522358059461947,14.9871843860418,14.9349485800956
GT6_29_D_GS,GS_2018_D,57.05,-2.86,7,57.05,-2.86,-0.0522358059461947,14.9871843860418,14.9349485800956
GT8_22_D_GS,GS_2018_D,57.05,-2.86,7,57.05,-2.86,-0.0522358059461947,14.9871843860418,14.9349485800956
RD10_10_D_GS,GS_2018_D,57.89,-4.98,14,57.89,-4.98,1.61144097735171,16.6508611693398,18.2623021466915
RD2_9_D_GS,GS_2018_D,57.89,-4.98,7,57.89,-4.98,-1.88855902264826,13.1508611693397,11.2623021466915
RD3_2_D_GS,GS_2018_D,57.89,-4.98,7,57.89,-4.98,-1.88855902264826,13.1508611693397,11.2623021466915
RD5_6_D_GS,GS_2018_D,57.89,-4.98,7,57.89,-4.98,-1.88855902264826,13.1508611693397,11.2623021466915
RD8_22_D_GS,GS_2018_D,57.89,-4.98,7,57.89,-4.98,-1.88855902264826,13.1508611693397,11.2623021466915
RD9_6_D_GS,GS_2018_D,57.89,-4.98,21,57.89,-4.98,5.11144097735168,20.1508611693398,25.2623021466915
BE10_19_D_GS,GS_2019_D,57.63,-5.35,21,57.63,-5.35,2.00295828872526,16.1572254771283,18.1601837658535
BE2_15_D_GS,GS_2019_D,57.63,-5.35,21,57.63,-5.35,2.00295828872526,16.1572254771283,18.1601837658535
BE3_29_D_GS,GS_2019_D,57.63,-5.35,14,57.63,-5.35,-1.49704171127471,12.6572254771283,11.1601837658535
BE4_6_D_GS,GS_2019_D,57.63,-5.35,14,57.63,-5.35,-1.49704171127471,12.6572254771283,11.1601837658535
BE7_26_D_GS,GS_2019_D,57.63,-5.35,14,57.63,-5.35,-1.49704171127471,12.6572254771283,11.1601837658535
BE8_22_D_GS,GS_2019_D,57.63,-5.35,14,57.63,-5.35,-1.49704171127471,12.6572254771283,11.1601837658535
BE9_29_D_GS,GS_2019_D,57.63,-5.35,21,57.63,-5.35,2.00295828872526,16.1572254771283,18.1601837658535
GA1_26_D_GS,GS_2019_D,57.27,-4.92,21,57.27,-4.92,2.5710604480824,16.7253276364854,19.2963880845678
