Genotype,Envir,Latitude,Longitude,I,Lat,Lon,I_spats_residuals,I_spats_geno_pred_values,I_spats_adj_pheno
RD5_5_A_GS,GS_2017_A,57.89,-4.98,160,57.89,-4.98,-60.7029396104839,218.726103383433,158.023163772949
RD7_29_A_GS,GS_2017_A,57.89,-4.98,290,57.89,-4.98,4.29706038951622,283.726103383433,288.023163772949
BE10_6_A_GS,GS_2018_A,57.63,-5.35,525,57.63,-5.35,51.2199670127448,102.297164814006,153.517131826751
BE2_26_A_GS,GS_2018_A,57.63,-5.35,255,57.63,-5.35,-83.780032987256,-32.7028351859928,-116.482868173249
BE5_2_A_GS,GS_2018_A,57.63,-5.35,530,57.63,-5.35,53.7199670127449,104.797164814006,158.517131826751
BE7_29_A_GS,GS_2018_A,57.63,-5.35,380,57.63,-5.35,-21.2800329872556,29.7971648140068,8.51713182675122
GA1_6_A_GS,GS_2018_A,57.27,-4.92,390,57.27,-4.92,53.5775093724854,104.654707173747,158.232216546232
GA10_15_A_GS,GS_2018_A,57.27,-4.92,70,57.27,-4.92,-106.422490627515,-55.3452928262521,-161.767783453768
GA6_15_A_GS,GS_2018_A,57.27,-4.92,300,57.27,-4.92,8.57750937248511,59.6547071737472,68.2322165462323
GA9_6_A_GS,GS_2018_A,57.27,-4.92,325,57.27,-4.92,21.0775093724852,72.1547071737471,93.2322165462323
GL1_26_A_GS,GS_2018_A,56.91,-5.13,360,56.91,-5.13,24.406987679427,75.4841854806888,99.8911731601159
GL2_2_A_GS,GS_2018_A,56.91,-5.13,410,56.91,-5.13,49.4069876794272,100.484185480689,149.891173160116
GL4_10_A_GS,GS_2018_A,56.91,-5.13,360,56.91,-5.13,24.406987679427,75.4841854806888,99.8911731601159
GL5_6_A_GS,GS_2018_A,56.91,-5.13,410,56.91,-5.13,49.4069876794272,100.484185480689,149.891173160116
GL6_2_A_GS,GS_2018_A,56.91,-5.13,275,56.91,-5.13,-18.0930123205732,32.9841854806891,14.8911731601159
GL7_2_A_GS,GS_2018_A,56.91,-5.13,190,56.91,-5.13,-60.5930123205733,-9.51581451931065,-70.108826839884
GL8_29_A_GS,GS_2018_A,56.91,-5.13,200,56.91,-5.13,-55.5930123205733,-4.51581451931068,-60.108826839884
GT1_22_A_GS,GS_2018_A,57.05,-2.86,200,57.05,-2.86,-15.684029623312,35.3931681779502,19.7091385546382
GT5_6_A_GS,GS_2018_A,57.05,-2.86,265,57.05,-2.86,16.8159703766883,67.89316817795,84.7091385546383
